Iteration,TrainingPercent,ClassifierName,FeatureSelection,Balancing,CostSensitive,Precision,Recall,AUC,Kappa,F1,TP,FP,TN,FN,Cost,Filename,Npofb20
6,79.35897435897436,NaiveBayes,none,SMOTE,none,0.1363636363636363,0.75,0.7436305732484076,0.1970074812967581,0.2307692307692307,3.0,19.0,138.0,1.0,29.0,AVRO_NaiveBayes_SMOTE_6.csv,0.0
6,79.35897435897436,IBk,Best First,SMOTE,none,0.1,0.5,0.7945859872611465,0.1306695464362851,0.1666666666666666,2.0,18.0,139.0,2.0,38.0,AVRO_IBk_BestFirst_SMOTE_6.csv,0.5
6,79.35897435897436,RandomForest,Best First,SMOTE,none,0.0909090909090909,0.5,0.8734076433121019,0.1167082294264338,0.1538461538461538,2.0,20.0,137.0,2.0,40.0,AVRO_RandomForest_BestFirst_SMOTE_6.csv,0.25
6,79.35897435897436,NaiveBayes,Best First,SMOTE,none,0.0697674418604651,0.75,0.7452229299363057,0.0861138031288937,0.1276595744680851,3.0,40.0,117.0,1.0,50.0,AVRO_NaiveBayes_BestFirst_SMOTE_6.csv,0.0
7,84.81481481481481,IBk,none,none,none,0.2,0.375,0.8088942307692307,0.2106455266138166,0.2608695652173913,3.0,12.0,144.0,5.0,62.0,AVRO_IBk__7.csv,0.375
7,84.81481481481481,RandomForest,none,none,none,0.3333333333333333,0.25,0.7916666666666666,0.2545454545454538,0.2857142857142857,2.0,4.0,152.0,6.0,64.0,AVRO_RandomForest__7.csv,0.375
7,84.81481481481481,NaiveBayes,none,none,none,0.3333333333333333,0.25,0.8705929487179487,0.2545454545454538,0.2857142857142857,2.0,4.0,152.0,6.0,64.0,AVRO_NaiveBayes__7.csv,0.375
7,84.81481481481481,IBk,Best First,none,none,0.25,0.25,0.7916666666666666,0.2115384615384619,0.25,2.0,6.0,150.0,6.0,66.0,AVRO_IBk_BestFirst_7.csv,0.375
7,84.81481481481481,RandomForest,Best First,none,none,1.0,0.25,0.8044871794871795,0.388059701492537,0.4,2.0,0.0,156.0,6.0,60.0,AVRO_RandomForest_BestFirst_7.csv,0.625
7,84.81481481481481,NaiveBayes,Best First,none,none,0.375,0.375,0.8721955128205128,0.3429487179487173,0.375,3.0,5.0,151.0,5.0,55.0,AVRO_NaiveBayes_BestFirst_7.csv,0.375
7,84.81481481481481,IBk,none,none,Sensitive Threshold,0.15,0.375,0.8088942307692307,0.1554307116104868,0.2142857142857142,3.0,17.0,139.0,5.0,67.0,AVRO_IBk_SensitiveThreshold_7.csv,0.375
7,84.81481481481481,RandomForest,none,none,Sensitive Threshold,0.2,0.375,0.7780448717948718,0.2106455266138166,0.2608695652173913,3.0,12.0,144.0,5.0,62.0,AVRO_RandomForest_SensitiveThreshold_7.csv,0.375
7,84.81481481481481,NaiveBayes,none,none,Sensitive Threshold,0.2727272727272727,0.375,0.8705929487179487,0.2748299319727896,0.3157894736842105,3.0,8.0,148.0,5.0,58.0,AVRO_NaiveBayes_SensitiveThreshold_7.csv,0.375
7,84.81481481481481,IBk,Best First,none,Sensitive Threshold,0.1875,0.375,0.7916666666666666,0.197826086956522,0.25,3.0,13.0,143.0,5.0,63.0,AVRO_IBk_BestFirst_SensitiveThreshold_7.csv,0.375
7,84.81481481481481,RandomForest,Best First,none,Sensitive Threshold,0.1176470588235294,0.25,0.8249198717948718,0.1003134796238242,0.1599999999999999,2.0,15.0,141.0,6.0,75.0,AVRO_RandomForest_BestFirst_SensitiveThreshold_7.csv,0.5
