@relation bookkeeper_Training_4

@attribute LOC numeric
@attribute authors_number numeric
@attribute revisions_number numeric
@attribute touched_loc numeric
@attribute total_add_lines numeric
@attribute average_add_lines numeric
@attribute max_add_lines numeric
@attribute total_churn numeric
@attribute max_churn numeric
@attribute number_fix numeric
@attribute cyclomatic_complexity numeric
@attribute average_churn numeric
@attribute days_between_commits numeric
@attribute buggy {'YES', 'NO'}

@data
553,1,1,8,5,5.00,5,2,2,1,79,2.00,0.00,YES
40,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
369,3,3,16,15,5.00,6,14,6,2,74,4.67,2.50,YES
390,1,1,4,3,3.00,3,2,2,1,88,2.00,0.00,NO
51,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
577,0,0,0,0,0.00,0,0,0,0,64,0.00,0.00,YES
32,0,0,0,0,0.00,0,0,0,0,3,0.00,0.00,NO
66,0,0,0,0,0.00,0,0,0,0,5,0.00,0.00,NO
188,1,2,4,2,1.00,1,0,0,2,20,0.00,0.00,NO
582,0,0,0,0,0.00,0,0,0,0,57,0.00,0.00,YES
160,1,1,4,3,3.00,3,2,2,1,19,2.00,0.00,YES
50,0,0,0,0,0.00,0,0,0,0,11,0.00,0.00,NO
27,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
923,3,5,53,26,5.20,11,29,9,4,147,5.80,11.25,YES
60,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
62,0,0,0,0,0.00,0,0,0,0,10,0.00,0.00,NO
87,0,0,0,0,0.00,0,0,0,0,10,0.00,0.00,NO
52,0,0,0,0,0.00,0,0,0,0,7,0.00,0.00,NO
268,0,0,0,0,0.00,0,0,0,0,24,0.00,0.00,YES
163,0,0,0,0,0.00,0,0,0,0,15,0.00,0.00,NO
109,0,0,0,0,0.00,0,0,0,0,10,0.00,0.00,NO
147,0,0,0,0,0.00,0,0,0,0,18,0.00,0.00,NO
58,0,0,0,0,0.00,0,0,0,0,7,0.00,0.00,NO
44,0,0,0,0,0.00,0,0,0,0,2,0.00,0.00,NO
106,0,0,0,0,0.00,0,0,0,0,9,0.00,0.00,YES
139,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
326,0,0,0,0,0.00,0,0,0,0,50,0.00,0.00,YES
648,0,0,0,0,0.00,0,0,0,0,32,0.00,0.00,YES
792,1,2,20,17,8.50,12,14,12,1,58,7.00,18.00,YES
319,2,2,7,6,3.00,5,5,5,1,28,2.50,27.00,YES
